Forma;Lemma originale;Lemma corretto;Postag originale;Postag corretto;Tipo modifica
ἐκπιέζωνται;['ἐκ-πιέζω'];['ἐκπιέζω'];['v3ppse---'];['v3ppse---'];lemma
ἐκπλαγέντας;['ἐκπλάσσω'];['ἐκπλήσσω'];['v-pappma-'];['v-pappma-'];lemma
ἐκπλαγέντες;['ἐκπλάσσω', 'ἐκπλήσσω'];['ἐκπλήσσω'];['v-pappmn-'];['v-pappmn-'];lemma
ἐκπλαγείη;['ἐκπλάσσω'];['ἐκπλήσσω'];['v3saop---'];['v3saop---'];lemma
ἐκπλαγῆναι;['ἐκπλάσσω'];['ἐκπλήσσω'];['v--anp---'];['v--anp---'];lemma
ἐκπλῆσαι;['ἐκπλέω'];['ἐκπίμπλημι'];['v--ana---'];['v--ana---'];lemma
ἐκπρίασθαι;['ἐκπρίασθαι'];['ἐκπρίαμαι'];['v--pnm---'];['v--pnm---'];lemma
ἐκραγείσης;['ἐξαράσσω'];['ἐκρήγνυμι'];['v-sappfg-'];['v-sappfg-'];lemma
ἐκτήσαντο;['κτάομαι', 'κτέομαι'];['κτάομαι'];['v3paie---', 'v3paim---'];['v3paie---', 'v3paim---'];lemma
ἐκτήσατο;['κτάομαι', 'κτέομαι'];['κτάομαι'];['v3saie---', 'v3saim---'];['v3saie---', 'v3saim---'];lemma
ἐκτίσθη;['κτίζω', 'ἐκτίνω'];['κτίζω'];['v3saip---'];['v3saip---'];lemma
ἐκτεκεῖν;['ἐκ-τίκτω'];['ἐκτίκτω'];['v--ana---'];['v--ana---'];lemma
ἐκτραορδιναρίους;['ἐκτραορδιναρίος'];['ἐκτραορδινάριοι'];['n-p---ma-'];['n-p---ma-'];lemma
ἐκτρύχων;['ἐκτρυχόω'];['ἐκτρύχω'];['v3piia---'];['v3piia---'];lemma
ἐκτῆσθαι;['κτέομαι'];['κτάομαι'];['v--rne---'];['v--rne---'];lemma
ἐκφυλλοφορήσασα;['ἐκ-ἐκφυλλοφορέω'];['ἐκφυλλοφορέω'];['v-sapafn-'];['v-sapafn-'];lemma
ἐλάσσω;['ἐλάσσων'];['ἐλαχύς'];['a-p---nac', 'a-p---nnc', 'a-s---fac', 'a-s---mac'];['a-p---nac', 'a-p---nnc', 'a-s---fac', 'a-s---mac'];lemma
ἐλάσσων;['ἐλάσσων'];['ἐλαχύς'];['a-s---fnc', 'a-s---mnc'];['a-s---fnc', 'a-s---mnc'];lemma
