Forma;Lemma originale;Lemma corretto;Postag originale;Postag corretto;Tipo modifica
-;['punc1'];['punc'];['u--------'];['u--------'];lemma
- - -;['punc1'];['punc'];['u--------'];['u--------'];lemma
--;['punc1'];['punc'];['u--------'];['u--------'];lemma
---;['punc1'];['punc'];['u--------'];['u--------'];lemma
-δὲ;['-δέ', 'δέ', 'δὲ', 'μηδέ', 'οδέ', 'οὐδέ'];['δέ'];['c--------', 'd--------'];['c--------', 'd--------'];lemma
-δ᾽;['-δέ', 'δέ', 'μηδέ', 'οὐδέ'];['δέ'];['c--------', 'd--------'];['c--------', 'd--------'];lemma
-θ᾽;['-τε', 'οὔτε', 'τε'];['τε'];['c--------', 'd--------'];['c--------', 'd--------'];lemma
-τ᾽;['-τε', 'οὔτε', 'τε'];['τε'];['c--------', 'd--------'];['c--------', 'd--------'];lemma
-ᾆτ᾽;['εἶτα'];['καί εἶτα'];['d--------'];['d--------'];lemma
....;['punc1'];['punc'];['u--------'];['u--------'];lemma
.᾽;['punc1'];['punc'];['u--------'];['u--------'];lemma
";";"[';', 'punc1']";['punc'];['u--------'];['u--------'];lemma
<;['punc1'];['<'];['u--------'];['u--------'];lemma
>;['punc1'];['punc'];['u--------'];['u--------'];lemma
[;['punc1'];['['];['u--------'];['u--------'];lemma
];['punc1'];[']'];['u--------'];['u--------'];lemma
·;['punc1', '·'];['punc'];['u--------'];['u--------'];lemma
Αλεκτρυόνα;['ἀλεκτρυών'];['Αλεκτρυών'];['n-s---ma-'];['n-s---ma-'];lemma
Αἰγέστῳ;['Αἰγέστος', 'Αἴγεστος'];['Αἰγέστης', 'Αἴγεστος'];['n-s---md-'];['n-s---md-'];lemma
Αἰγίνης;['Αἴγινα', 'αἰγίνη'];['Αἴγινα'];['n-s---fg-'];['n-s---fg-'];lemma
Αἰγίνῃ;['Αἴγινα', 'αἰγίνη'];['Αἴγινα'];['n-s---fd-'];['n-s---fd-'];lemma
Αἰγυπτίου;['Αἰγυπτιός'];['Αἰγύπτιος'];['a-s---ng-'];['a-s---ng-'];lemma
Αἰγυπτίῃσι;['αἰγυπτία'];['Αἰγύπτιος'];['n-p---fd-'];['n-p---fd-'];lemma
Αἰγὸς;['Αἴξ', 'αἴξ'];['Αἴξ'];['n-s---mg-'];['n-s---mg-'];lemma
Αἰγῦτιν;['Αἶγυς'];['Αἰγῦτις'];['n-s---fa-'];['n-s---fa-'];lemma
Αἰνείαν;['Αἰνεία', 'Αἰνείας'];['Αἰνείας'];['n-s---fa-', 'n-s---ma-'];['n-s---fa-', 'n-s---ma-'];lemma
Αἰξωνέα;['Αἰξωνῆ'];['Αἰξωνεύς'];['n-s---fa-'];['n-s---fa-'];lemma
Αἰξωνέων;['Αἰξώνεος'];['Αἰξωνεύς'];['n-p---mg-'];['n-p---mg-'];lemma
Αἰολέων;['Αἰολέυς', 'Αἰολεύς'];['Αἰολεύς'];['n-p---mg-'];['n-p---mg-'];lemma
Αἰολίδας;['Αἰολεύς'];['Αἰολίς'];['n-p---fa-'];['n-p---fa-'];lemma
Αἰολίδες;['Αἰολεύς'];['Αἰολίς'];['n-p---fn-'];['n-p---fn-'];lemma
Αἰολίδος;['Αἰολίς', 'Αἰολεύς'];['Αἰολίς'];['n-s---fg-'];['n-s---fg-'];lemma
Αἰολὶς;['Αἰολεύς'];['Αἰολίς'];['n-s---fn-'];['n-s---fn-'];lemma
Αἰσκυλίαις;['Αἰσκυλίαι'];['Αἰσκυλία'];['n-p---fd-'];['n-p---fd-'];lemma
Αἰσκυλείας;['Αἰσκυλεία'];['Αἰσκύλειος'];['n-p---fa-'];['n-p---fa-'];lemma
Αἰσκύλειον;['Αἰσκύλειον'];['Αἰσκύλειος'];['n-s---na-'];['n-s---na-'];lemma
Αἰτωλίαν;['Αἰτωλία', 'Αἰτωλίη'];['Αἰτωλία'];['n-s---fa-'];['n-s---fa-'];lemma
Αἰτωλοί;['Αἰτωλοί', 'Αἰτωλός'];['Αἰτωλός'];['n-p---mn-'];['n-p---mn-'];lemma
Αἰτωλούς;['Αἰτωλοί'];['Αἰτωλός'];['n-p---ma-'];['n-p---ma-'];lemma
Αἰτωλοὶ;['Αἰτωλοί'];['Αἰτωλός'];['n-p---mn-'];['n-p---mn-'];lemma
Αἰτωλοὺς;['Αἰτωλοί', 'Αἰτωλός'];['Αἰτωλός'];['n-p---ma-'];['n-p---ma-'];lemma
Αἰτωλοῖς;['Αἰτωλοί'];['Αἰτωλός'];['n-p---md-'];['n-p---md-'];lemma
Αἰτωλῶν;['Αἰτωλοί'];['Αἰτωλός'];['n-p---mg-'];['n-p---mg-'];lemma
Αἴθραν;['αἴθρη'];['Αἴθρη'];['n-s---fa-'];['n-s---fa-'];lemma
Αἴνειαν;['Αἰνείας'];['Αἴνεια'];['n-s---ma-'];['n-s---ma-'];lemma
Αἴνης;['αἴνη'];['Αἴνη'];['n-s---fg-'];['n-s---fg-'];lemma
Αὐεντίνῳ;['Αὐεντῖνον'];['Αὐεντῖνος'];['n-s---nd-'];['n-s---nd-'];lemma
Αὐεντῖνον;['Αὐεντῖνον'];['Αὐεντῖνος'];['n-s---na-'];['n-s---na-'];lemma
Αὐρωνίσσους;['Αὐρωνίσσος'];['Αὐρωνίσσοι'];['n-p---ma-'];['n-p---ma-'];lemma
Αὐσονίαν;['Αὐσονίη'];['Αὐσονία'];['n-s---fa-'];['n-s---fa-'];lemma
Αὐσόνων;['Αὐσόνος'];['Αὐσόνιος'];['n-p---mg-'];['n-p---mg-'];lemma
Αὐτοκλέης;['Αὐτοκλῆς'];['Αὐτοκλέης'];['n-s---mn-'];['n-s---mn-'];lemma
Αὔσονες;['Αὔσονες'];['Αὐσόνιος'];['n-p---mn-'];['n-p---mn-'];lemma
Βάκτριον;['Βακτρίον'];['Βάκτριον'];['n-s---nn-'];['n-s---nn-'];lemma
Βάτειαν;['Βατεία'];['Βάτεια'];['n-s---fa-'];['n-s---fa-'];lemma
Βίων;['Βίων', 'βίος'];['βίος'];['n-p---mg-', 'n-s---mg-', 'n-s---mn-'];['n-p---mg-', 'n-s---mg-', 'n-s---mn-'];lemma
Βαβυλωνίας;['Βαβυλωνία', 'Βαβυλώνιος'];['Βαβυλωνία'];['n-s---fg-'];['n-s---fg-'];lemma
Βαβυλωνίοις;['Βαβυλώνιοι'];['Βαβυλώνιος'];['n-p---md-'];['n-p---md-'];lemma
Βαβυλωνίους;['Βαβυλώνιοι', 'Βαβυλώνιος'];['Βαβυλώνιος'];['n-p---ma-'];['n-p---ma-'];lemma
Βαβυλώνιοι;['Βαβυλώνιοι', 'Βαβυλώνιος'];['Βαβυλώνιος'];['n-p---mn-'];['n-p---mn-'];lemma
Βαβύκαν;['βαβύκα'];['Βαβύκα'];['n-s---fa-'];['n-s---fa-'];lemma
Βαγαβάζου;['Βαγαβάζος'];['Βαγάβαζος'];['n-s---mg-'];['n-s---mg-'];lemma
Βαζαφράνην;['Βαζαφέρνης'];['Βαζαφράνης'];['n-s---ma-'];['n-s---ma-'];lemma
Βαζαφράνου;['Βαζαφέρνης'];['Βαζαφράνης'];['n-s---mg-'];['n-s---mg-'];lemma
Βακτριανῶν;['Βακτριανής'];['Βακτριάνης'];['n-p---mg-'];['n-p---mg-'];lemma
Βαλεαρικοῦ;['Βαλεαρίκος'];['Βαλεαρικός'];['n-s---mg-'];['n-s---mg-'];lemma
Βασιλέων;['Βασιλίς'];['βασιλεύς'];['n-p---fg-'];['n-p---fg-'];lemma
Βασταρνικοὶ;['Βασταρνίκος'];['Βασταρνικός'];['n-p---mn-'];['n-p---mn-'];lemma
Βατείας;['βατεία'];['Βατεία'];['n-s---fg-'];['n-s---fg-'];lemma
Βελμινᾶτιν;['Βελμινᾶ'];['Βελμινᾶτις'];['n-s---fa-'];['n-s---fa-'];lemma
Βιθυνία;['Βιθυνίη'];['Βιθυνία'];['n-s---fn-'];['n-s---fn-'];lemma
Βιθυνίαν;['Βιθυνία', 'Βιθυνίη'];['Βιθυνία'];['n-s---fa-'];['n-s---fa-'];lemma
Βιθυνοί;['Βιθυνοί'];['Βιθυνός'];['n-p---mn-'];['n-p---mn-'];lemma
Βιθυνοὶ;['Βιθυνοί'];['Βιθυνός'];['n-p---mn-'];['n-p---mn-'];lemma
Βιθυνοὺς;['Βιθυνοί'];['Βιθυνός'];['n-p---ma-'];['n-p---ma-'];lemma
Βιθυνοῖς;['Βιθυνοί'];['Βιθυνός'];['n-p---md-'];['n-p---md-'];lemma
Βιθυνῶν;['Βιθυνοί'];['Βιθυνός'];['n-p---mg-'];['n-p---mg-'];lemma
Βοίους;['Βοῖος'];['Βοῖοι'];['n-p---ma-'];['n-p---ma-'];lemma
Βοίων;['Βοῖος'];['Βοῖοι'];['n-p---mg-'];['n-p---mg-'];lemma
Βοαρίας;['βοάριος'];['Βοάριος'];['a-s---fg-'];['a-s---fg-'];lemma
Βοιωτίαν;['Βοιωρία', 'Βοιωτία'];['Βοιωτία'];['n-s---fa-'];['n-s---fa-'];lemma
Βοιωτίας;['Βοιωτία', 'Βοιώτιος'];['Βοιώτιος'];['a-p---fa-', 'n-p---fa-', 'n-s---fg-'];['a-p---fa-', 'n-p---fa-', 'n-s---fg-'];lemma
Βοιωτίῃσι;['Βοιωτία'];['Βοιώτιος'];['a-p---fd-'];['a-p---fd-'];lemma
Βοιὸν;['βοιόν'];['Βοιόν'];['n-s---na-'];['n-s---na-'];lemma
Βοσπορίχω;['Βοσπορίχας'];['Βοσπόριχος'];['n-s---mg-'];['n-s---mg-'];lemma
Βουάνων;['Βουάνος'];['Βουανός'];['n-p---mg-'];['n-p---mg-'];lemma
Βουθρωτοῦ;['Βουθρωτόν'];['Βουθρωτός'];['n-s---ng-'];['n-s---ng-'];lemma
Βουθρωτὸν;['Βουθρωτόν'];['Βουθρωτός'];['n-s---na-'];['n-s---na-'];lemma
Βουκεφαλίαν;['Βουκεφάλια'];['Βουκεφαλία'];['n-s---fa-'];['n-s---fa-'];lemma
Βοῖοι;['Βοῖος'];['Βοῖοι'];['n-p---mn-'];['n-p---mn-'];lemma
Βραγχίδας;['Βράγχιδαι', 'Βραγχίδαι'];['Βραγχίδαι'];['n-p---ma-'];['n-p---ma-'];lemma
Βραγχίδῃσι;['Βράγχιδαι'];['Βραγχίδαι'];['n-p---md-'];['n-p---md-'];lemma
Βρασίδας;['Βρασίδας', 'Βρασίδης'];['Βρασίδης'];['n-s---mn-'];['n-s---mn-'];lemma
Βρασίδου;['Βρασίδας', 'Βρασίδης'];['Βρασίδης'];['n-s---mg-'];['n-s---mg-'];lemma
Βραχύλλου;['Βραχύλλος'];['Βράχυλλος'];['n-s---mg-'];['n-s---mg-'];lemma
Βρεντεσίνων;['Βρεντεσίος'];['Βρεντεσῖνος'];['n-p---mg-'];['n-p---mg-'];lemma
Βρισηίδα;['Βρισηΐς'];['Βρισηίς'];['n-s---fa-'];['n-s---fa-'];lemma
Βρομίου;['Βρομίος'];['βρόμιος'];['n-s---mg-'];['n-s---mg-'];lemma
Βρομιάδι;['βρομιάς'];['Βρομιάς'];['n-s---fd-'];['n-s---fd-'];lemma
Βρούτου;['Βρούτος'];['Βροῦτος'];['n-s---mg-'];['n-s---mg-'];lemma
Βρούτῳ;['Βρούτος'];['Βροῦτος'];['n-s---md-'];['n-s---md-'];lemma
Βρυτίδας;['Βρυτίδης'];['Βρυτίδαι'];['n-p---ma-'];['n-p---ma-'];lemma
Βρυτιδῶν;['Βρυτίδης'];['Βρυτίδαι'];['n-p---mg-'];['n-p---mg-'];lemma
Βυζάντιον;['Βυζάντιοv', 'Βυζάντιον', 'Βυζάντιος'];['Βυζάντιοv', 'Βυζάντιος'];['a-s---ma-', 'n-s---na-', 'n-s---nn-'];['a-s---ma-', 'n-s---na-', 'n-s---nn-'];lemma
Βυζαντίου;['Βυζάντιον', 'Βυζάντιος'];['Βυζάντιος'];['n-s---ng-'];['n-s---ng-'];lemma
Βυζαντίῳ;['Βυζάντιον', 'Βυζάντιος'];['Βυζάντιος'];['n-s---md-', 'n-s---nd-'];['n-s---md-', 'n-s---nd-'];lemma
Βόας;['βόη'];['Βόας'];['n-s---fn-'];['n-s---fn-'];lemma
Γάιον;['Γάιος', 'Γαῗος'];['Γάιος'];['n-s---ma-'];['n-s---ma-'];lemma
Γάιος;['Γάιος', 'Γάιός', 'Γαῗος'];['Γάιος'];['n-s---mn-'];['n-s---mn-'];lemma
Γάιός;['Γάιός', 'Γαῗος'];['Γάιος'];['n-s---mn-'];['n-s---mn-'];lemma
Γάϊον;['Γαῗος'];['Γάιος'];['n-s---ma-'];['n-s---ma-'];lemma
Γάϊος;['Γαῗος'];['Γάιος'];['n-s---mn-'];['n-s---mn-'];lemma
Γέλωτι;['γέλως'];['Γέλως'];['n-s---md-'];['n-s---md-'];lemma
Γέλωτος;['γέλως'];['Γέλως'];['n-s---mg-'];['n-s---mg-'];lemma
Γέργιθα;['Γέργις'];['Γέργιθος'];['n-s---fa-'];['n-s---fa-'];lemma
Γέργιθας;['Γέργις'];['Γέργιθος'];['n-p---fa-'];['n-p---fa-'];lemma
Γαΐου;['Γάιος', 'Γαῖος', 'Γαῗος'];['Γάιος'];['n-s---mg-'];['n-s---mg-'];lemma
Γαΐῳ;['Γάιος', 'Γαῖος', 'Γαῗος'];['Γάιος'];['n-s---md-'];['n-s---md-'];lemma
Γαδάρων;['Γαδάρα'];['Γάδαρα'];['n-p---ng-'];['n-p---ng-'];lemma
Γαδάτᾳ;['Γαδάτη', 'Γαδάτης'];['Γαδάτας'];['n-s---fd-', 'n-s---md-'];['n-s---fd-', 'n-s---md-'];lemma
Γαισάτους;['Γαισάτος'];['Γαισάται'];['n-p---ma-'];['n-p---ma-'];lemma
Γαισάτων;['Γαισάτος'];['Γαισάται'];['n-p---mg-'];['n-p---mg-'];lemma
Γαλάται;['Γαλάται', 'Γαλάτης'];['Γαλάται'];['n-p---mn-', 'n-s---md-'];['n-p---mn-', 'n-s---md-'];lemma
Γαλάταις;['Γαλάται', 'Γαλάτης'];['Γαλάται'];['n-p---md-'];['n-p---md-'];lemma
Γαλάτας;['Γαλάται', 'Γαλάτης'];['Γαλάται'];['n-p---ma-'];['n-p---ma-'];lemma
Γαλααδίτας;['Γαλααδ'];['Γαλααδίτης'];['n-p---ma-'];['n-p---ma-'];lemma
Γαλατίαν;['Γαλατίη'];['Γαλατία'];['n-s---fa-'];['n-s---fa-'];lemma
Γαλατίας;['Γαλατίη'];['Γαλατία'];['n-s---fg-'];['n-s---fg-'];lemma
Γαλατίᾳ;['Γαλατίη'];['Γαλατία'];['n-s---fd-'];['n-s---fd-'];lemma
Γαλατείη;['Γαλατείη'];['Γαλάτεια'];['n-s---fn-'];['n-s---fn-'];lemma
Γαλατῶν;['Γαλάται', 'Γαλάτης'];['Γαλάται'];['n-p---mg-'];['n-p---mg-'];lemma
Γανδρίδαις;['Γάνδριδαι'];['Γανδρίδαι'];['n-p---md-'];['n-p---md-'];lemma
Γεδρωσίων;['Γεδρώσιος'];['Γεδρώσιοι'];['n-p---mg-'];['n-p---mg-'];lemma
Γενεθλίους;['Γενέθλιος'];['γενέθλιος'];['n-p---ma-'];['n-p---ma-'];lemma
Γεράνειαν;['Γερανεία'];['Γεράνεια'];['n-s---fa-'];['n-s---fa-'];lemma
Γεργίθων;['Γέργις'];['Γέργιθος'];['n-p---mg-'];['n-p---mg-'];lemma
Γερμάνιοι;['Γερμάνιοι'];['Γερμάνιος'];['n-p---mn-'];['n-p---mn-'];lemma
Γιτθὰ;['Γιτθὰ'];['Γιτθά'];['n-s---fn-'];['n-s---fn-'];lemma
Γλαυκίαν;['Γλαυκίης'];['Γλαυκίας'];['n-s---ma-'];['n-s---ma-'];lemma
Γλαυκίας;['Γλαυκίης'];['Γλαυκίας'];['n-p---ma-', 'n-s---mn-'];['n-p---ma-', 'n-s---mn-'];lemma
Γλαυκίου;['Γλαυκίης'];['Γλαυκίας'];['n-s---mg-'];['n-s---mg-'];lemma
Γλαύκου;['Γλαύκος', 'Γλαῦκος', 'γλαῦκος'];['Γλαῦκος'];['n-s---mg-'];['n-s---mg-'];lemma
Γνάιον;['Γναῖος'];['Γνάιος'];['n-s---ma-'];['n-s---ma-'];lemma
Γνάιος;['Γναῖος'];['Γνάιος'];['n-s---mn-'];['n-s---mn-'];lemma
Γνάϊον;['Γναῖος'];['Γνάιος'];['n-s---ma-'];['n-s---ma-'];lemma
Γναΐου;['Γναῖος'];['Γνάιος'];['n-s---mg-'];['n-s---mg-'];lemma
Γναΐῳ;['Γναῖος'];['Γνάιος'];['n-s---md-'];['n-s---md-'];lemma
Γναθαίνιον;['Γναθαίνιον', 'Γναθαίνιος'];['Γναθαίνιος'];['n-s---fa-', 'n-s---fn-', 'n-s---mn-'];['n-s---fa-', 'n-s---fn-', 'n-s---mn-'];lemma
Γναθαινίου;['Γναθαίνιον', 'Γναθαίνιος'];['Γναθαίνιος'];['n-s---fg-'];['n-s---fg-'];lemma
Γνώσιος;['Γνῶσις'];['Γνώσιος'];['n-s---mg-'];['n-s---mg-'];lemma
Γογγύλῳ;['Γογγύλος', 'Γόγγυλος'];['Γόγγυλος'];['n-s---md-'];['n-s---md-'];lemma
Γοργίας;['Γοργίας', 'Γοργίης'];['Γοργίας'];['n-s---mn-'];['n-s---mn-'];lemma
Γορδίεω;['Γορδίας'];['Γορδίης'];['n-s---mg-'];['n-s---mg-'];lemma
Γορδείῳ;['Γορδείον'];['Γόρδιον'];['n-s---nd-'];['n-s---nd-'];lemma
Γωβρύα;['Γωβρύας', 'Γωβρύης'];['Γωβρύας'];['n-s---mv-'];['n-s---mv-'];lemma
Γωβρύαν;['Γωβρύας', 'Γωβρύης'];['Γωβρύας'];['n-s---ma-'];['n-s---ma-'];lemma
Γωβρύας;['Γωβρύας', 'Γωβρύης'];['Γωβρύας'];['n-s---mn-'];['n-s---mn-'];lemma
Γωβρύου;['Γωβρύης'];['Γωβρύας'];['n-s---mg-'];['n-s---mg-'];lemma
Γωβρύᾳ;['Γωβρύας', 'Γωβρύη', 'Γωβρύης'];['Γωβρύας'];['n-s---fd-', 'n-s---md-'];['n-s---fd-', 'n-s---md-'];lemma
Γῆς;['Γαῖα'];['Γῆ'];['n-s---fg-'];['n-s---fg-'];lemma
Γῇ;['Γαῖα'];['Γῆ'];['n-s---fd-'];['n-s---fd-'];lemma
Δάοι;['Δάος'];['Δάοι'];['n-p---mn-'];['n-p---mn-'];lemma
Δέλτα;['δέλτα'];['Δέλτα'];['n-s---na-'];['n-s---na-'];lemma
Δέρδα;['Δέρδης'];['Δέρδας'];['n-s---mg-'];['n-s---mg-'];lemma
Δήμου;['Δῆμος'];['δῆμος'];['n-s---mg-'];['n-s---mg-'];lemma
Δίʼ;['Ζεύς', 'ζέυς'];['Ζεύς'];['n-s---ma-'];['n-s---ma-'];lemma
Δία;['Δίη', 'Δίον', 'Ζεύς'];['Ζεύς'];['n-p---na-', 'n-p---nn-', 'n-p---nv-', 'n-s---fn-', 'n-s---fv-', 'n-s---ma-'];['n-p---na-', 'n-p---nn-', 'n-p---nv-', 'n-s---fn-', 'n-s---fv-', 'n-s---ma-'];lemma
Δίνων;['Δίνων', 'Δῖνων'];['Δίνων'];['n-s---mn-'];['n-s---mn-'];lemma
Δί᾽;['Δίον', 'Δῖος', 'Ζεύς'];['Ζεύς'];['n-p---na-', 'n-p---nn-', 'n-p---nv-', 'n-s---ma-', 'n-s---md-', 'n-s---mv-'];['n-p---na-', 'n-p---nn-', 'n-p---nv-', 'n-s---ma-', 'n-s---md-', 'n-s---mv-'];lemma
Δαγὼν;['Δαγὼν'];['Δαγών'];['n-s---mn-'];['n-s---mn-'];lemma
Δαμασάνδραν;['δαμασάνδρα'];['Δαμασάνδρα'];['n-s---fa-'];['n-s---fa-'];lemma
Δαμασκόν;['Δαμασκόν', 'Δαμασκός'];['Δαμασκός'];['n-s---fa-', 'n-s---ma-'];['n-s---fa-', 'n-s---ma-'];lemma
Δαμαστὴς;['Δαμαστὴς'];['Δαμαστής'];['n-s---mn-'];['n-s---mn-'];lemma
Δεκελειέων;['Δεκέλεια', 'Δεκελειεύς'];['Δεκέλεια'];['n-p---fg-', 'n-p---mg-'];['n-p---fg-', 'n-p---mg-'];lemma
Δεσμώτιδι;['δεσμώτης'];['δεσμῶτις'];['n-s---fd-'];['n-s---fd-'];lemma
Δηιόκεω;['nan', 'Δηιόκης'];['Δηιόκης'];['n-s---mg-'];['n-s---mg-'];lemma
Δημάρατον;['Δημ́αρατος', 'Δημάρατος'];['Δημάρατος'];['n-s---ma-'];['n-s---ma-'];lemma
Δημάρατος;['Δημ́αρατος', 'Δημάρατος'];['Δημάρατος'];['n-s---mn-'];['n-s---mn-'];lemma
Δημήτριον;['Δημ́ητριος', 'Δημήτριος'];['Δημήτριος'];['a-s---ma-', 'n-s---ma-'];['a-s---ma-', 'n-s---ma-'];lemma
Δημήτριος;['Δημ́ητριος', 'Δημήτριος'];['Δημήτριος'];['n-s---mn-'];['n-s---mn-'];lemma
Δημαγόρᾳ;['Δημαγ́ορας'];['Δημαγόρας'];['n-s---md-'];['n-s---md-'];lemma
Δημαράτου;['Δημαράτος'];['Δημάρατος'];['n-s---mg-'];['n-s---mg-'];lemma
Δημητρίου;['Δημ́ητριος', 'Δημήτριος'];['Δημήτριος'];['n-s---mg-'];['n-s---mg-'];lemma
Δημητρίῳ;['Δημ́ητριος', 'Δημήτριος'];['Δημήτριος'];['n-s---md-'];['n-s---md-'];lemma
Δημοκλέους;['Δημοκλῆς'];['Δημοκλέης'];['n-s---mg-'];['n-s---mg-'];lemma
Δημοχάρους;['Δημοχάρης', 'Δημοχάρος'];['Δημοχάρης'];['n-s---mg-'];['n-s---mg-'];lemma
Δηρουσιαῖοι;['Δηρουσιαῖος'];['Δηρουσιαῖοι'];['n-p---mn-'];['n-p---mn-'];lemma
Διαδημάτα;['Διαδημάτα'];['Διαδημάτας'];['n-s---mg-'];['n-s---mg-'];lemma
Διιπολείοις;['Διιπολεία'];['Διιπόλεια'];['n-p---nd-'];['n-p---nd-'];lemma
Διοκλέους;['Διοκλέης', 'Διοκλῆς'];['Διοκλέης'];['n-s---mg-'];['n-s---mg-'];lemma
Διονυσίοις;['Διονύσια', 'Διονύσιον', 'Διονύσιος'];['Διονύσια'];['a-p---md-', 'n-p---nd-'];['a-p---md-', 'n-p---nd-'];lemma
Διονυσίων;['Διονύσια', 'Διονύσιον'];['Διονύσια'];['n-p---ng-'];['n-p---ng-'];lemma
Διονυσοκόλακες;['Διονυσιοκόλαξ'];['Διονυσοκόλακες'];['n-p---mn-'];['n-p---mn-'];lemma
Διονύσου;['Διονύσος', 'Διόνυσος'];['Διόνυσος'];['n-s---mg-'];['n-s---mg-'];lemma
Διονύσῳ;['Διονύσος'];['Διόνυσος'];['n-s---md-'];['n-s---md-'];lemma
Διορύκτου;['Διορύκτος'];['Διόρυκτος'];['n-s---mg-'];['n-s---mg-'];lemma
Διώνδου;['Διώνδος'];['Διώνδας'];['n-s---mg-'];['n-s---mg-'];lemma
Δολοπίαν;['Δολοπίη'];['Δολοπία'];['n-s---fa-'];['n-s---fa-'];lemma
Δολόπων;['Δόλοψ'];['Δόλοπες'];['n-p---mg-'];['n-p---mg-'];lemma
Δρέπανα;['Δρέπανον', 'δρέπανον'];['Δρέπανον'];['n-p---na-'];['n-p---na-'];lemma
Δρακοντείων;['δρακόντειος'];['Δρακόντειος'];['a-p---mg-'];['a-p---mg-'];lemma
Δροπικοὶ;['Δροπικός'];['Δροπικοί'];['n-p---mn-'];['n-p---mn-'];lemma
Δωρίχαν;['Δωρίχα', 'Δωρίχη'];['Δωρίχα'];['n-s---fa-', 'n-s---fg-'];['n-s---fa-', 'n-s---fg-'];lemma
Δωριέων;['Δωριεύς', 'Δώριος'];['Δωριεύς'];['n-p---mg-'];['n-p---mg-'];lemma
Δόλωνά;['δόλων'];['Δόλων'];['n-s---ma-'];['n-s---ma-'];lemma
Δώρου;['δῶρον'];['Δῶρος'];['n-s---ng-'];['n-s---ng-'];lemma
Δώρων;['Δώρα', 'δῶρον'];['Δῶρα'];['n-p---ng-'];['n-p---ng-'];lemma
Δῶρα;['δῶρον'];['Δῶρα'];['n-p---na-'];['n-p---na-'];lemma
Ελλάδι;['Ελλάς'];['Ἑλλάς'];['n-s---fd-'];['n-s---fd-'];lemma
Εἰρήνην;['Εἰρήνη', 'εἰρήνη'];['εἰρήνη'];['n-s---fa-'];['n-s---fa-'];lemma
Εὐέλπιδος;['εὔελπις'];['Εὔελπις'];['n-s---fg-'];['n-s---fg-'];lemma
Εὐήνορος;['εὐήνωρ'];['Εὐήνωρ'];['n-s----g-'];['n-s----g-'];lemma
Εὐαγόραν;['Εὐαγόρας', 'Εὐαγόρης'];['Εὐαγόρας'];['n-s---ma-'];['n-s---ma-'];lemma
Εὐαρχίππου;['Εὐαρχίππος'];['Εὐάρχιππος'];['n-s---mg-'];['n-s---mg-'];lemma
Εὐθυκλέους;['Εὐθυκλῆς'];['Εὐθυκλεής'];['n-s---mg-'];['n-s---mg-'];lemma
Εὐκλέους;['Εὐκλῆς'];['Εὐκλέης'];['n-s---mg-'];['n-s---mg-'];lemma
Εὐμάρης;['Εὐμάρας'];['Εὐμάρης'];['n-s---mn-'];['n-s---mn-'];lemma
Εὐριπίδῃ;['Εὐριπίδης', 'εὐριπίδης'];['Εὐριπίδης'];['n-s---md-'];['n-s---md-'];lemma
Εὐρυπωντίδας;['Εὐρυπωντίδης'];['Εὐρυπωντίδαι'];['n-p---ma-'];['n-p---ma-'];lemma
Εὐρυπῶντα;['Εὐρυπών'];['Εὐρυπῶν'];['n-s---ma-'];['n-s---ma-'];lemma
Εὐρώπην;['Εὐρώπη', 'Εὐρώπης'];['Εὐρώπη'];['n-s---fa-', 'n-s---ma-'];['n-s---fa-', 'n-s---ma-'];lemma
Εὐρώπης;['Εὐρώπη', 'Εὐρώπης'];['Εὐρώπη'];['n-s---fg-', 'n-s---mn-'];['n-s---fg-', 'n-s---mn-'];lemma
Εὐρώταν;['Εὐρώτας', 'Εὐρώτης'];['Εὐρώτας'];['n-s---ma-'];['n-s---ma-'];lemma
Εὐσεβὴς;['Εὐσεβὴς'];['εὐσεβής'];['n-s---mn-'];['n-s---mn-'];lemma
Εὔκλεια;['Εὐκλεία'];['Εὔκλεια'];['n-s---fn-'];['n-s---fn-'];lemma
Ζήνων;['Ζήνων', 'Ζῆνων'];['Ζήνων'];['n-s---mn-'];['n-s---mn-'];lemma
Ζαριάσπαν;['Ζαριάσπα'];['Ζαριάσπης'];['n-s---fa-'];['n-s---fa-'];lemma
Ζεῦ;['Ζεύς', 'ζεύς'];['Ζεύς'];['n-s---mv-'];['n-s---mv-'];lemma
Ζώπυρον;['Ζώπυρος', 'ζώπυρος'];['Ζώπυρος'];['n-s---ma-'];['n-s---ma-'];lemma
Θάλητα;['Θάλης', 'Θαλήτας'];['Θάλης'];['n-s---ma-', 'n-s---mv-'];['n-s---ma-', 'n-s---mv-'];lemma
Θήβας;['Θήβη', 'Θῆβαι'];['Θῆβαι'];['n-p---fa-', 'n-s---fg-'];['n-p---fa-', 'n-s---fg-'];lemma
Θήβησι;['Θήβησιν'];['Θῆβαι'];['d--------'];['d--------'];lemma
Θήβησιν;['Θήβησιν'];['Θῆβαι'];['d--------'];['d--------'];lemma
Θαλασσίδος;['Θαλάσσις'];['Θαλασσίς'];['n-s---fg-'];['n-s---fg-'];lemma
Θαμνηρίοις;['Θαμνήριος'];['Θαμνήρια'];['n-p---md-'];['n-p---md-'];lemma
Θεμιστοκλέους;['Θεμιστοκλῆς'];['Θεμιστοκλέης'];['n-s---mg-'];['n-s---mg-'];lemma
