;form;lemmi;postag
390;ἁμαρτημάτων;['ἁμάρτημα'];['n-p---ng-']
391;ἁμιλλώμενοι;['ἁμιλλάομαι'];['v-pppmmn-']
392;ἁμῶς;['ἀμῶς'];['d--------']
393;ἁπάντων;['ἅπας'];['p-p---mg-', 'p-p---ng-']
394;ἁψάμενοι;['ἅπτω'];['v-papmmn-']
395;ἁψάμενος;['ἅπτω'];['v-sapmmn-']
396;ἁψαμένη;['ἅπτω'];['v-sapmfn-']
397;αἰδὼς;['αἰδώς'];['n-s---fn-']
398;αἰσχίστῳ;['αἰσχρός'];['a-s---nds']
399;αἰσχρὸν;['αἰσχρός'];['a-s---nn-']
400;αἰτία;['αἰτία'];['n-s---fn-']
401;αἰτίας;['αἰτία'];['n-s---fg-']
402;αἱ;['ὁ'];['l-p---fn-']
403;αἳ;['ὅς'];['p-p---fn-']
404;αὔξονται;['αὐξάνω'];['v3ppim---']
405;αὔξοντες;['αὐξάνω'];['v-pppamn-']
406;αὖ;['αὖ'];['d--------']
407;αὖθις;['αὖθις'];['d--------']
408;αὐθάδης;['αὐθάδης'];['a-s---mn-']
409;αὐλαῖς;['αὐλή'];['n-p---fd-']
410;αὐτὰ;['αὐτός'];['p-p---na-']
411;αὐτὴ;['αὐτός'];['p-s---fn-']
412;αὐτὴν;['αὐτός'];['p-s---fa-']
413;αὐτήν;['αὐτός'];['p-s---fa-']
414;αὐτῇ;['αὐτός'];['p-s---fd-']
415;αὐτῆς;['αὐτός'];['p-s---fg-']
416;αὐτὸ;['αὐτός'];['p-s---na-']
417;αὐτὸν;['αὐτός'];['p-s---ma-']
418;αὐτὸς;['αὐτός'];['p-s---mn-']
419;αὐτός;['αὐτός'];['p-s---mn-']
420;αὐτοῖς;['αὐτός'];['p-p---md-']
421;αὐτοῦ;['αὐτός'];['p-s---mg-']
422;αὐτῷ;['αὐτός'];['p-s---md-']
423;αὐτῶν;['αὐτός'];['p-p---mg-']
424;αὕτη;['οὗτος'];['p-s---fn-']
425;αὑτὴν;['ἑαυτοῦ'];['p-s---fa-']
426;αὑτὸν;['ἑαυτοῦ'];['p-s---ma-']
427;αὑτοῖς;['ἑαυτοῦ'];['p-p---md-']
428;αὑτοὺς;['ἑαυτοῦ'];['p-p---ma-']
429;αὑτοῦ;['ἑαυτοῦ'];['p-s---mg-']
430;αὑτῷ;['ἑαυτοῦ'];['p-s---md-']
431;αὑτῶν;['ἑαυτοῦ'];['p-p---fg-']
432;βάλαστνουσαι;['βάλαστͅνω'];['v-pppafn-']
433;βαδίζειν;['βαδίζω'];['v--pna---']
434;βαδίζοντες;['βαδίζω'];['v-pppamn-']
435;βαδιζούσης;['βαδίζω'];['v-sppafg-']
436;βασίλειον;['βασίλειον'];['n-s---na-']
437;βασιλέα;['βασιλεύς'];['n-s---ma-']
438;βασιλέων;['βασιλεύς'];['n-p---mg-']
439;βασιλέως;['βασιλεύς'];['n-s---mg-']
440;βασιλεία;['βασιλεία'];['n-s---fn-']
441;βασιλείαν;['βασιλεία'];['n-s---fa-']
442;βασιλείας;['βασιλεία'];['n-s---fg-']
443;βασιλεῖ;['βασιλεύς'];['n-s---md-']
444;βασιλεῖς;['βασιλεύς'];['n-p---ma-']
445;βασιλεὺς;['βασιλεύς'];['n-s---mn-']
446;βασιλεύειν;['βασιλεύω'];['v--pna---']
447;βασιλεύοντος;['βασιλεύω'];['v-sppamg-']
448;βασιλεύσας;['βασιλεύω'];['v-sapamn-']
449;βασιλεύων;['βασιλεύω'];['v-sppamn-']
450;βασιλικήν;['βασιλικός'];['a-s---fa-']
451;βασιλικοῦ;['βασιλικός'];['a-s---ng-']
