;form;lemmi;postag
170;Ποσιδήιον;['Ποσιδήϊος'];['a-s---na-']
171;Πύθιον;['Πύθιος'];['a-s---ma-']
172;Πύλον;['Πύλος'];['n-s---fa-', 'n-s---ma-']
173;Πυθοῖ;['Πυθώ'];['n-s---fd-']
174;Πυθὼ;['Πυθώ'];['n-s---fa-', 'n-s---fn-']
175;Πυλοιγενέας;['Πυλοιγενής'];['a-p---ma-']
176;Ῥείη;['Ῥέα'];['n-s---fn-']
177;Ῥήναιά;['Ῥήναια'];['n-s---fn-']
178;Σάμη;['Σάμη'];['n-s---fn-']
179;Σάμος;['Σάμος'];['n-s---fn-']
180;Σκῦρος;['Σκῦρος'];['n-s---fn-']
181;Στυγὸς;['Στύξ'];['n-s---fg-']
182;Τάρταρον;['Τάρταρος'];['n-s---ma-']
183;Ταίναρον;['Ταίναρος'];['n-s---ma-']
184;Τελφούσῃ;['Τελφούσα'];['n-s---fd-']
185;Τελφούσης;['Τελφούσα'];['n-s---fg-']
186;Τελφοῦσα;['Τελφοῦσα'];['n-s---fn-']
187;Τελφοῦσ’;['Τελφοῦσα'];['n-s---fv-']
188;Τελφουσίῳ;['Τελφούσιος'];['n-s---md-']
189;Τευμησσὸν;['Τευμησσός'];['n-s---ma-']
190;Τιτῆνές;['Τιτάν'];['n-p---mv-']
191;Τρίοπός;['Τρίοψ'];['n-s---mg-']
192;Τριοπέῳ;['Τριόπεος'];['n-s---md-']
193;Τροφώνιος;['Τροφώνιος'];['n-s---mn-']
194;Τυφάονα;['Τυφῶν'];['n-s---ma-']
195;Τυφωεὺς;['Τυφωεύς'];['n-s---mn-']
196;Ὑπερίων;['Ὑπερίων'];['n-s---mn-']
197;Φερὰς;['Φεραί'];['n-p---fa-']
198;Φλεγύων;['Φλέγυες'];['n-p---mg-']
199;Φοίβου;['Φοῖβος'];['n-s---mg-']
200;Φοῖβε;['Φοῖβος'];['n-s---mv-']
201;Φοῖβον;['Φοῖβος'];['n-s---ma-']
202;Φοῖβος;['Φοῖβος'];['n-s---mn-']
203;Φώκαια;['Φώκαια'];['n-s---fn-']
204;Χάριτες;['Χάρις'];['n-p---fn-']
205;Χαλκίδα;['Χαλκίς'];['n-s---fa-']
206;Χίμαιρα;['Χίμαιρα'];['n-s---fn-']
207;Χίος;['Χίος'];['n-s---fn-']
208;Χίῳ;['Χίος'];['n-s---fd-']
209;Ὠκαλέην;['Ὠκαλέη'];['n-s---fa-']
210;Ὧραι;['Ὥρα'];['n-p---fn-']
