form;lemma;postag
ἀπῇσαν;['ἄπειμι'];['v3piia---']
Οὐιρτοῦτίς;['Οὐιρτοῦς', 'Οὐιρτός'];['n-s---fg-']
τοσῶνδε;['τοσόσδε'];['a-p---fg-', 'p-p---fg-']
ἀπεκρίναντο;['ἀποκρίνω'];['v3paim---']
ἐξέταττον;['ἐκτάσσω'];[]
προυφαίνετο;['προφαίνω'];['v3siie---']
κωφὰ;['κωφός'];['a-p---nn-']
παρορμητικὰ;['παρορμητικός'];['a-p---nn-']
τρίφυλλον;['τρίφυλλον'];['n-s---na-']
ἐνδεδέσθαι;['ἐνδέω'];['v--rne---']
ἀληθέως;['ἀληθής'];['d--------']
Λεαίνης;['Λέαινα'];['n-s---fg-']
ἀπαγγείλας;['ἀπαγγέλλω'];['v-sapamn-']
μαλακίαν;['μαλακία'];['n-s---fa-']
κρανέϊνα;['κρανέινος'];['a-p---na-']
δεινότητι;['δεινότης'];['n-s---fd-']
διείλεχθε;['διαλέγω'];['v2prme---']
ὀρθρίου;['ὄρθριος'];['a-s---ng-']
πρόσω;['πρόσω'];['d--------']
πιστεύων;['πιστεύω'];['v-sppamn-']
προσδεόμενοι;['προσδέω'];['v-pppemn-']
κείμενον;['κεῖμαι'];['v-srpena-', 'v-srpenn-', 'v-srpema-', 'v-sppena-']
ἀλλογνώσας;['ἀλλογνοέω'];['v-sapamn-']
ἀπαγωγήν;['ἀπαγωγή'];['n-s---fa-']
πολυαρκεστάτη;['πολυαρκής'];['a-s---fns']
προπεπηλακισμένοι;['προπηλακίζω'];['v-prpemn-']
ἀνδρόμηκες;['ἀνδρομήκης'];['a-s---na-']
Ἀσσυρίους;['Ἀσσύριος'];['n-p---ma-']
ἀπῇα;['ἄπειμι'];['v1siia---']
ἀνυπονόητά;['ἀνυπονόητος'];['a-p---nn-']
εὗρες;['εὑρίσκω'];['v2saia---']
χαμαιτύπης;['χαμαιτύπη'];['n-s---fg-']
λεξοῦντι;['λέγω'];['v3pfia---']
λαβόντα;['λαμβάνω'];['v-sapama-']
λεχθῇ;['λέγω'];['v3sasp---']
εἵνεκα;['ἕνεκα'];['r--------']
συντυχὸν;['συντυγχάνω'];['v-sapann-']
Ἰβηρίας;['Ἰβηρία'];['n-s---fg-']
ὑπερεπειγόμενος;['ὑπερεπείγω'];['v-sppemn-']
Τρωσίν;['Τρῶες'];['n-p---md-']
προσπεσοῦσαν;['προσπίπτω'];['v-sapafa-']
διαθέοντές;['διαθέω'];['v-pppamn-']
γράφων;['γράφω'];['v-sppamn-']
διοικοῦσα;['διοικέω'];['v-sppafn-']
ἐμοίχευεν;['μοιχεύω'];['v3siia---']
βαρέα;['βαρύς'];['a-p---nn-', 'a-p---na-']
σφρηγῖδα;['σφραγίς'];['n-s---fa-']
μηδετέροις;['μηδέτερος'];['a-p---md-']
ἀρεῖ;['αἴρω'];['v3sfia---', 'v2spie---']
δαιμόνιόν;['δαιμόνιον'];['n-s---na-']
διεκλάπησαν;['διακλέπτω'];['v3paip---']
Καρχηδόνιοι;['Καρχηδόνιος'];['n-p---mn-']
ἄνθρακας;['ἄνθραξ'];['n-p---ma-']
Ἀθηνᾶν;['Ἀθήνη'];['n-s---fa-', 'n-p---fg-']
δορυφόρους;['δορυφόρος'];['a-p---ma-']
αὐτός;['αὐτός'];['p-s---mn-']
ἐθέλοι;['θέλω'];[]
προεωρᾶτο;['προοράω'];['v3siim---']
